x,y,z
-1.060152642067505,-0.9875968503366275,-3.3938063248688255e-06
-1.0603946377040452,-0.9875675068506217,-2.9951583984146046e-06
-1.060636439262611,-0.9875384085593326,-3.3181145059311967e-06
-1.0608784275708654,-0.9875093757070028,-2.991928801911181e-06
-1.0611200850089506,-0.987480520251718,-3.416655610020275e-06
-1.0613621795220216,-0.9874517847647206,-3.015983454226351e-06
-1.0616042106333736,-0.9874230621516521,-3.450040741700272e-06
-1.0618463981972148,-0.9873946525899293,-3.0353359304277627e-06
-1.0620885133324738,-0.9873662564731964,-3.427828425505569e-06
-1.0623307641408957,-0.9873381615977623,-3.01974006954725e-06
-1.062572939237008,-0.9873100786023744,-3.426755064948883e-06
-1.06281525406804,-0.9872823018124727,-3.019666237082802e-06
-1.0630574969963045,-0.9872545388695471,-3.4110295203601537e-06
-1.0632998733535737,-0.9872270769190307,-3.0093086053409324e-06
-1.0635421780448844,-0.9871996279489121,-3.4076922085478356e-06
-1.0637846181366941,-0.9871724821316179,-3.007621803541999e-06
-1.0640269885577227,-0.9871453501764221,-3.398636027256846e-06
-1.0642694908432189,-0.9871185189016662,-3.0017997178360956e-06
-1.0645119235167493,-0.9870917010802005,-3.3958176468250334e-06
-1.0647544883801254,-0.9870651849362642,-3.000277607467794e-06
-1.0649969845256566,-0.9870386826335505,-3.3906660365339014e-06
-1.0652396108522386,-0.9870124808775198,-2.9970249586439013e-06
-1.0654821685312148,-0.9869862927212864,-3.388618674982774e-06
-1.0657248562328119,-0.9869604056281385,-2.9958944763042172e-06
-1.0659673356136754,-0.9869347482566789,-3.317790436569573e-06
-1.0662100077318855,-0.9869091678611731,-2.9942040033655026e-06
-1.066452521681542,-0.986883812706629,-3.2862880750446355e-06
-1.0666952235272984,-0.9868585252636357,-2.9721273312501018e-06
-1.0669378897277695,-0.9868332472659657,-3.4170932797714104e-06
-1.0671807218568816,-0.986808276845378,-3.018366021678709e-06
-1.0674234849936641,-0.9867833120749724,-3.452779087274871e-06
-1.0676664015360264,-0.9867586640665539,-3.0378545126975853e-06
-1.0679092451506684,-0.98673402681074,-3.4306014332040335e-06
-1.0681522218933206,-0.9867096946573602,-3.022286286669812e-06
-1.0683951224522035,-0.9866853716691141,-3.4295442307222257e-06
-1.0686381601188613,-0.9866613588495183,-3.022230324459252e-06
-1.0688811253219224,-0.9866373572686317,-3.41385793444296e-06
-1.069124221357173,-0.9866136605137248,-3.011898936113727e-06
-1.0693672452135154,-0.986589974139472,-3.410525468837411e-06
-1.0696104018622155,-0.9865665947816346,-3.010219355083915e-06
-1.0698534882824184,-0.9865432267518656,-3.4014901338121073e-06
-1.070096704026255,-0.9865201631779923,-3.0044145795694865e-06
-1.070339849612149,-0.9864971105274325,-3.398684258224677e-06
-1.0705831248276712,-0.9864743633324502,-3.0029055257119186e-06
-1.0708263307630361,-0.9864516274807738,-3.393549448112848e-06
-1.0710696643193962,-0.9864291959132766,-2.999668075081424e-06
-1.0713129286554968,-0.9864067754657618,-3.3915129071665495e-06
-1.0715563204080663,-0.986384659815781,-2.998547501249782e-06
-1.071799500825635,-0.9863627684574454,-3.3208320806728253e-06
-1.072042873859177,-0.986340959945112,-2.9969746076774495e-06
-1.0722860859456185,-0.9863193719273576,-3.2891788615055373e-06
-1.0725294858381644,-0.9862978572406488,-2.9747740555065294e-06
-1.0727728496477436,-0.9862763500772239,-3.419930935843335e-06
-1.0730163766706053,-0.9862551545551421,-3.020984586463854e-06
-1.0732598342579969,-0.986233962252641,-3.4556893199477745e-06
-1.073503442474507,-0.9862130907146457,-3.0405414186522595e-06
-1.0737469772139572,-0.9861922274604578,-3.433516700793865e-06
-1.0739906423052725,-0.9861716730494403,-3.024979788775195e-06
-1.0742342305954269,-0.9861511253917452,-3.4324943381722206e-06
-1.0744779531672313,-0.9861308916478534,-3.0249466181388185e-06
-1.0747216026710436,-0.9861106667280397,-3.4168257408116742e-06
-1.0749653802447532,-0.9860907503702251,-3.0146331584761377e-06
-1.075209085013658,-0.9860708420312473,-3.4135034854727853e-06
-1.075452919738949,-0.9860512444355035,-3.0129619043237077e-06
-1.0756966836098907,-0.9860316558290629,-3.4044813645613126e-06
-1.0759405740162553,-0.9860123753624636,-3.00716858350758e-06
-1.0761843936387059,-0.9859931035179217,-3.4016839668589427e-06
-1.0764283400595673,-0.9859741407906342,-3.005666282088898e-06
-1.0766722165993785,-0.9859551871264061,-3.3965604051867937e-06
-1.0769162179327283,-0.9859365413773258,-3.0024392186772664e-06
-1.0771601494631844,-0.985917904489397,-3.394531073151047e-06
-1.0774042055869362,-0.9858995760018245,-3.0013271280597553e-06
-1.077648047323701,-0.9858814665096771,-3.323990799958959e-06
-1.0778920814041288,-0.9858634456689539,-2.999870531261717e-06
-1.0781359517413562,-0.9858456406972423,-3.2921856649784087e-06
-1.078380009711337,-0.9858279146119941,-2.977549096335602e-06
-1.078624031184607,-0.9858101942272908,-3.4229033346079574e-06
-1.078868213042075,-0.985792789474878,-3.02375241364658e-06
-1.0791123250343397,-0.9857753856032958,-3.458730050545644e-06
-1.0793565847189297,-0.985758306427852,-3.043373842444297e-06
-1.0796007703428914,-0.985741233233519,-3.436578005500124e-06
-1.0798450834453632,-0.9857244724193,-3.0278221822589713e-06
-1.080089319226626,-0.98570771599283,-3.4355867435179044e-06
-1.0803336863646333,-0.9856912771109152,-3.0278118330444304e-06
-1.0805779798767612,-0.985674844804134,-3.4199261669497216e-06
-1.0808223986172432,-0.9856587245216903,-3.0174988257768154e-06
-1.0810667440371344,-0.9856426100251697,-3.416620029065426e-06
-1.0813112165490444,-0.985626809774707,-3.0158406591727915e-06
-1.0815556176951886,-0.9856110163440206,-3.4076019844730965e-06
-1.0818001425360093,-0.9855955344788209,-3.0100526175885767e-06
-1.0820445960942817,-0.9855800590747031,-3.4048176513930273e-06
-1.08228917360027,-0.9855648962208863,-3.008563671417358e-06
-1.082533680711347,-0.9855497403019573,-3.3997031771183794e-06
-1.0827783097634585,-0.9855348956863389,-3.0053462516978213e-06
-1.0830228685088465,-0.9855200578162121,-3.3976849004337117e-06
-1.0832675489877883,-0.9855055317319309,-3.004245983397741e-06
